Name,Icon (Male),Icon (Female),Equip Slot,Caption,Weight,Damage Negation (Physical),Damage Negation (VS Strike),Damage Negation (VS Slash),Damage Negation (VS Pierce),Damage Negation (Magic),Damage Negation (Fire),Damage Negation (Lightning),Damage Negation (Holy),Immunity (Poison and Rot),Robustness (Blood),Frost,Focus (Madness),Sleep,Vitality (Death Blight),Poise,Sell Price,Drop Type,Obtainable,ID,Armor Set ID,Armor ID,Icon ID (Male),Icon ID (Female),Model ID,Armor Category,Sort Group ID,Sort ID,Resident SpEffect ID [1],Resident SpEffect ID [2],Resident SpEffect ID [3],Hidden Effect,Physical Negation (Raw),Strike Negation (Raw),Slash Negation (Raw),Pierce Negation (Raw),Magic Negation (Raw),Fire Negation (Raw),Lightning Negation (Raw),Holy Negation (Raw),Info (Unused)
Witch's Glintstone Crown,,-,Head,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.

Increases intelligence and arcane to the detriment of stamina.

This gentle-looking crown was granted to a scholar who excelled in her studies, which also merited the title of ""witch.""",5.1,4.4,3.1,5.2,4.8,4.4,4.5,3.4,3.8,16,26,-,10,-,10,3,500,White,Yes,834000,83,4000,14720,14720,2540,0,20,501050,1958,486,6083400,,0.956,0.948,0.969,0.952,0.956,0.955,0.966,0.962,Stone mask of a Green Glintstone Sage
Lazuli Glintstone Crown,,-,Head,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.

Increases intelligence and dexterity to the detriment of HP.

Scholars of the Lazuli Conspectus study Carian sorceries—a heterodox pursuit that views the moon as equal to the stars.",5.1,4.4,3.1,5.2,4.8,4.4,4.5,3.4,3.8,16,26,-,10,-,10,3,500,White,Yes,832000,83,2000,14330,14330,2170,0,20,501060,1954,486,6083200,,0.956,0.948,0.969,0.952,0.956,0.955,0.966,0.962,Stone mask of a Red Glintstone Sage
Haima Glintstone Crown,,-,Head,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.

Increases intelligence and strength to the detriment of FP.

Scholars of the Haima Conspectus sought the power to quell conflict, and to this end studied the sorceries of cannon fire and the gavel.",2.7,2.3,2.5,2.1,2.3,4.8,4.5,4.6,4.6,22,11,-,33,-,39,2,500,White,Yes,1000000,100,0000,14680,14680,1520,0,20,501070,6100000,-1,-1,,0.977,0.979,0.975,0.977,0.952,0.955,0.954,0.954,Mask of an unaffiliated glintstone sorcerer
Hierodas Glintstone Crown,,-,Head,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.

Increases intelligence and endurance to the detriment of FP.

The crown of Hierodas was granted to scholars who engaged in nomadic study away from the academy.",3.0,2.3,2.3,2.8,2.3,4.9,4.7,4.6,4.9,20,11,-,39,-,42,2,500,White,Yes,990000,99,0000,14660,14660,1510,0,20,501080,6099000,-1,-1,,0.977,0.972,0.977,0.977,0.951,0.953,0.954,0.951,Eyepatch worn by a great sorcerer turned hermit
Spellblade's Pointed Hat,,-,Head,"Glintstone sorcerer Rogier's pointed hat, a sign of a heretical practitioner. Strengthens glintstone sorcery skills.

Rogier spent his entire life behaving with utter detachment. No one noticed the anger, grief, regret, or fear that existed along with it.",1.5,1.3,0.8,1.3,1.3,4.5,3.9,4.1,4.5,15,8,-,25,-,27,0,200,White,Yes,130000,13,0000,13110,13110,1170,0,20,501090,6013000,-1,-1,,0.987,0.987,0.992,0.987,0.955,0.961,0.959,0.955,Glintstone sorcerer Rogier's hat
Alberich's Pointed Hat,,-,Head,"Mad Tongue Alberich's pointed hat, a sign of a heretical practitioner.

Set with red glintstones, said to be formed by the blood of sacrifices. Strengthens thorn sorcery.

Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.",1.7,1.8,1.4,1.8,1.8,4.6,4.2,4.4,4.6,16,10,-,29,-,31,0,200,White,Yes,120000,12,0000,13090,13090,1160,0,20,501100,6012000,-1,-1,,0.982,0.982,0.986,0.982,0.954,0.958,0.956,0.954,Hat of a defected glintstone sorcerer
Alberich's Pointed Hat (Altered),,-,Head,"Mad Tongue Alberich's pointed hat, a sign of a heretical practitioner.

Set with red glintstones, said to be formed by the blood of sacrifices. Strengthens thorn sorcery.

Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.",1.0,0.9,0.2,0.9,0.9,4.4,3.8,4.0,4.4,12,7,-,23,-,24,0,200,Purple,Yes,121000,12,1000,13100,13100,1161,0,20,501110,6012000,-1,-1,,0.991,0.991,0.998,0.991,0.956,0.962,0.96,0.956,Cowl of a defected glintstone sorcerer
Preceptor's Big Hat,,-,Head,"Large hat with the movements of the stars drawn on the inside of the brim.
Worn by the magic preceptors who served the Carian royals.

Increases mind to the detriment of stamina.

Glintstone sorcerers are the descendants of astrologers, a fact that the Carians remain aware of. Even if their fate has been long severed from the stars.",3.6,2.5,2.8,2.5,2.5,5.5,4.9,4.8,4.8,26,12,-,44,-,42,2,200,Purple,Yes,910000,91,0000,14500,14500,1430,0,20,501120,6091000,-1,-1,,0.975,0.975,0.972,0.975,0.945,0.951,0.952,0.952,Hat worn by ruthless Chaplains
Mask of Confidence,,-,Head,"Mask with the mouth sewn shut with gold thread.
Increases arcane.

When Radagon married Rennala, he ordered the Carian magic preceptors to don these masks. To make it clear that all of their matters were to be kept strictly private.",3.3,2.3,2.5,2.3,2.3,5.3,4.8,4.7,4.7,24,11,10,39,-,35,1,200,Purple,Yes,911000,91,1000,14510,14510,1431,0,20,501130,6091100,-1,-1,,0.977,0.977,0.975,0.977,0.947,0.952,0.953,0.953,Hood worn by ruthless Chaplains
Azur's Glintstone Crown,,-,Head,"Crown of Azur, primeval current sorcerer, set with a prominent blue-green glintstone.

This crown replaced Azur's brain and skull altogether, and now, removed from his body, it is all but dead. What power remains within raises the potency of Azur's primeval current sorceries at the cost of additional FP consumption.",3.6,2.8,2.3,2.5,2.5,5.8,4.6,4.7,5.0,23,14,-,44,-,39,2,1000,Purple,Yes,581000,58,1000,13850,13850,2125,0,20,501140,6058100,6058101,-1,,0.972,0.975,0.977,0.975,0.942,0.954,0.953,0.95,Blue transparent crown of a Crystal Sorcerer
Lusat's Glintstone Crown,,-,Head,"The giant blue glintstone crown worn by Lusat, primeval current sorcerer.

This crown replaced Lusat's brain and skull altogether, and now, removed from his body, it is all but dead. What power remains within raises the potency of Lusat's primeval current sorceries at the cost of additional FP consumption.",3.6,3.1,2.3,3.1,2.3,5.5,4.6,4.8,4.9,23,11,-,39,-,44,2,1000,Purple,Yes,580000,58,0000,13840,13840,2120,0,20,501150,6058000,6058001,-1,,0.969,0.969,0.977,0.977,0.945,0.954,0.952,0.951,Skull-merged Crown of a Crystal Sorcerer
Queen's Crescent Crown,,-,Head,"A tall crown depicting the moon.
Worn by Rennala, Queen of the Full Moon. Increases intelligence.

When Rennala, head of both the Academy of Raya Lucaria and the Carian royal family, lost her husband Radagon, her heart went along with him.

And then, those at the academy realized. That Rennala was no champion, after all.",2.2,2.1,1.8,1.8,1.4,4.9,4.5,4.6,4.7,18,11,-,31,-,35,1,2000,Purple,Yes,510000,51,0000,13710,13710,2050,0,20,501160,6051000,-1,-1,,0.979,0.982,0.982,0.986,0.951,0.955,0.954,0.953,"Crown of Rennala, the Full Moon Witch"
Snow Witch Hat,,-,Head,"Witch's pointed hat, frigid and frozen through.
Of a style associated with practitioners of heretical sorcery.
Strengthens cold sorcery.

Once worn by the snowy crone who the young Ranni encountered deep in the woods. She was a witch, and well versed in cold sorceries.
It is said that the doll that houses Ranni's soul was modeled after her.

That old witch was Ranni's secret mentor.",2.2,1.8,2.1,2.1,1.4,4.6,4.6,4.6,4.6,16,14,-,31,-,31,1,1000,Purple,Yes,1010000,101,0000,14740,14740,2200,0,20,501170,6101000,-1,-1,,0.982,0.979,0.979,0.986,0.954,0.954,0.954,0.954,Hat worn by Enchantress Ranni
Fia's Hood,,-,Head,"Hood of black cloth that covers the whole head.
Worn by Fia, the Deathbed Companion, on her journey after being exiled from her home.

The fabric itself is soft as silk.",1.7,1.4,1.8,1.4,1.4,4.4,4.2,4.4,4.6,18,8,-,29,-,45,0,500,Purple,Yes,1940000,194,0000,15340,15340,1595,0,20,501180,-1,-1,-1,,0.986,0.986,0.982,0.986,0.956,0.958,0.956,0.954,"Hood worn by Phia, the Deathbed Companion"
Prophet Blindfold,,-,Head,"Blindfold of exiled prophets who foretold misfortune—and were persecuted and driven from their homes as a result.

Why hesitate, if the path leading to the future is clear? Just close your eyes, and walk.",1.0,0.2,0.9,0.9,0.2,4.5,4.2,4.0,4.5,14,5,-,27,-,27,0,100,Purple,Yes,620000,62,0000,13920,13920,1240,0,20,501190,-1,-1,-1,,0.998,0.991,0.991,0.998,0.955,0.958,0.96,0.955,Blindfold of the exiled prophets
Traveling Maiden Hood,,-,Head,"Hood worn by traveling maidens.

Maidens traversed the Lands Between for different reasons. Some to seek audience with the Fingers. Others, to find the Tarnished who they were destined to guide.",1.6,1.4,1.8,1.8,0.9,4.6,4.5,4.6,4.6,18,10,-,29,-,31,1,10,Purple,Yes,900000,90,0000,14460,14460,1420,0,20,501200,-1,-1,-1,,0.986,0.982,0.982,0.991,0.954,0.955,0.954,0.954,Hood worn by traveling clerics
Finger Maiden Fillet,,-,Head,"Fillet worn by maidens who serve the Two Fingers.

The maidens live to serve a chosen Tarnished, sharing their guidance and the wisdom of the Two Fingers.

The guidance of grace would ensure that the pair be brought together. Or at least, such was the promise long ago.",2.2,2.1,1.8,1.8,1.4,4.8,4.6,4.6,4.8,18,10,-,31,-,31,1,500,Purple,Yes,902000,90,2000,14480,14480,1425,0,20,501210,-1,-1,-1,,0.979,0.982,0.982,0.986,0.952,0.954,0.954,0.952,Crown worn by Saints
Sage Hood,,-,Head,"A burgundy pointed hood.
Attire of the wise sages who were deemed heretical.

Evidence that the wearer was driven from town.",2.2,2.3,2.1,2.1,1.4,4.8,4.5,4.6,4.8,16,10,-,31,-,33,1,100,Purple,Yes,430000,43,0000,13610,13610,1940,0,20,501220,-1,-1,-1,,0.977,0.979,0.979,0.986,0.952,0.955,0.954,0.952,Hood of a travelling musician gripped by death
Greathood,,-,Head,"Hood far larger than the head it is meant to cover.
A burial shroud of sorts for those who discover, at long last, the truth they sought.

Increases intelligence and faith to the detriment of HP.

""Yes, surely this is the moon that young Rennala gazed upon.""",5.1,3.8,3.6,3.8,3.6,5.5,5.0,5.5,6.2,33,20,-,47,-,47,2,200,Purple,Yes,1600000,160,0000,15000,15000,1580,0,20,501230,6160000,-1,-1,,0.962,0.962,0.964,0.964,0.945,0.95,0.945,0.938,Hood with a mysterious silhouette
Radiant Gold Mask,,-,Head,"A mask designed to resemble a blazing golden halo.
Created and left behind by Lord Goldmask, a staunch pursuer of Golden Order fundamentalism.

Strengthens Golden Order incantations.

Its striking design represents both the brilliant inspiration that once shone upon him, and the vision of a ring that he will surely find at the end of his pursuit.

""To you who seek to shine as I do, wear it well!""",2.2,2.3,2.1,2.1,1.4,4.6,4.5,4.6,4.8,22,9,-,33,-,33,1,500,Purple,Yes,1040000,104,0000,14780,14780,2230,0,20,501240,6104000,-1,-1,,0.977,0.979,0.979,0.986,0.954,0.955,0.954,0.952,Mask worn by researchers of the Golden Order
Perfumer Hood,,-,Head,"Hood of an Erdtree Capital perfumer.

In times past, the role of perfumer was much respected; a blessed apothecary in the eyes of the many. But after entering the battlefields of the Shattering they performed no such role, trading their aromatics for poisons and explosives.",1.7,1.4,2.1,1.8,1.4,4.6,4.2,4.4,4.6,26,8,-,27,-,29,1,500,Purple,Yes,90000,9,0000,13060,13060,1130,0,30,502000,-1,-1,-1,,0.986,0.982,0.979,0.986,0.954,0.958,0.956,0.954,Hood of an Erdtree Capital perfumer
Traveler's Hat,,-,Head,"Hat of a traveling perfumer of no renown.

An associate of a healer, he is said to be in search of new aromatics and flower gardens, in hopes of treating Misbegotten, Omen, and all those seen as impure.",1.7,1.8,1.8,1.4,0.9,4.6,4.6,4.4,4.6,23,9,-,29,-,27,1,100,Purple,Yes,100000,10,0000,13070,13070,1140,0,30,502010,-1,-1,-1,,0.982,0.986,0.982,0.991,0.954,0.954,0.956,0.954,Leather tricorne of an unaffiliated perfumer
Depraved Perfumer Headscarf,,-,Head,"Headscarf worn by depraved perfumers.

These heresy-inclined perfumers imbibe their own spices to alter body and mind. Their slow descent into self-destruction is what earned them their name.",2.1,2.0,2.0,1.7,1.3,4.6,4.5,4.4,4.5,28,10,-,25,-,34,1,500,White,Yes,540000,54,0000,13740,13740,2080,0,30,502020,-1,-1,-1,,0.98,0.983,0.98,0.987,0.954,0.955,0.956,0.955,Hood of a depraved perfumer gripped by madness
Ruler's Mask,,-,Head,"Mask in the image of a wizened sage.
Customary dress among lords in a smaller nation.
Increases faith.

Such a mask illustrates the qualities of an ideal lord: chiefly, wise and possessing a certain defanged geniality.
One at the center of society often finds these qualities most expedient.",2.2,1.8,2.3,2.3,1.4,4.6,4.4,4.6,4.7,20,10,-,33,-,33,1,500,White,Yes,961000,96,1000,14610,14610,1530,0,30,502030,6096100,-1,-1,,0.982,0.977,0.977,0.986,0.954,0.956,0.954,0.953,"Stone mask of Rya, servant to the Volcano Manor"
Consort's Mask,,-,Head,"Mask worn by Tanith, Lady of the Volcano Manor, in the image of a foreign queen.
Increases dexterity.

Long ago, when Rykard first set eyes on Tanith, she was working as a dancer in a foreign land. Soon, he made her his consort.
She was the only human to remain by his side when he became the serpent of blasphemy.

In that moment, Tanith was truly charmed by him.",3.6,2.8,2.8,2.5,2.5,5.0,4.8,4.8,5.0,24,14,-,39,-,35,2,500,White,Yes,960000,96,0000,14590,14590,1480,0,30,502040,6096000,-1,-1,,0.972,0.975,0.972,0.975,0.95,0.952,0.952,0.95,"White mask of Tanith, Lady of the Volcano Manor"
Marais Mask,,-,Head,"Mask in the image of a white-haired young noble.
Customarily worn by the head of House Marais.
Increases arcane.

The Marais family has a dual history spanning generations, serving as both executioners and castellans of the Shaded Castle. This mask bears the likeness of the first of their line.",2.2,2.1,2.3,1.8,1.4,4.6,4.5,4.5,4.6,20,14,-,35,-,33,1,500,White,Yes,963000,96,3000,14600,14600,1485,0,30,502050,6096300,-1,-1,,0.979,0.982,0.977,0.986,0.954,0.955,0.955,0.954,An eerie white haired silver mask
Great Horned Headband,,-,Head,"Headband decorated by a pair of great horns.
Worn by ancestral follower warriors.

The ancestral followers keep their distance from the Erdtree, awaiting new buds. They are certain to sprout from their very flesh, and indeed, their souls.",3.3,2.8,3.1,2.8,2.8,3.1,3.4,3.8,3.4,33,23,-,27,-,22,1,100,White,Yes,300000,30,0000,13420,13420,1760,0,30,502060,-1,-1,-1,,0.972,0.972,0.969,0.972,0.969,0.966,0.962,0.966,Headband worn by worshippers of stag specters
Shining Horned Headband,,-,Head,"Headband decorated by a pair of shining horns.
Worn by ancestral follower shamans.

Horns with buds that also shine are ideal ceremonial items for ancestral worship. Strengthens Ancestral Infant's Head.",3.3,2.5,2.8,2.5,3.6,3.6,3.4,3.6,3.1,33,23,-,27,-,20,2,100,White,Yes,301000,30,1000,13425,13425,1765,0,30,502070,6030100,-1,-1,,0.975,0.975,0.972,0.964,0.964,0.966,0.964,0.969,%null%
Godskin Apostle Hood,,-,Head,"Hood made by sewing together patches of smooth skin.
Worn by the Godskin Apostles.

The apostles, once said to serve Destined Death, are wielders of the god-slaying black flame. But after their defeat by Maliketh, the Black Blade, the source of their power was sealed away.",2.2,2.3,2.1,2.1,1.4,4.6,4.4,4.5,5.0,20,10,-,33,-,31,1,1000,White,Yes,520000,52,0000,13720,13720,2060,0,30,502080,-1,-1,-1,,0.977,0.979,0.979,0.986,0.954,0.956,0.955,0.95,Hood made from tanned Demigod skin
