Name,Icon (Male),Icon (Female),Equip Slot,Info,Caption,Weight,Damage Negation (Physical),Damage Negation (VS Strike),Damage Negation (VS Slash),Damage Negation (VS Pierce),Damage Negation (Magic),Damage Negation (Fire),Damage Negation (Lightning),Damage Negation (Holy),Immunity (Poison and Rot),Robustness (Blood),Frost,Focus (Madness),Sleep,Vitality (Death Blight),Poise,Sell Price,Drop Type,Obtainable,ID,Armor Set ID,Armor ID,Icon ID (Male),Icon ID (Female),Armor Category,Sort Group ID,Sort ID,Resident SpEffect ID [1],Resident SpEffect ID [2],Resident SpEffect ID [3],Passive Effect
Guilty Hood,,-,Head,Coarse hooded cloak of olive brown,"Coarse hooded cloak of olive brown. The garb of those accused of lesser crimes, indicated by the collar of sharpened branches.",1.4,0.9,1.4,1.8,0.2,4.4,4.0,4.5,4.6,15,9,-,27,-,31,0,10,Purple,Yes,160000,16,0000,13160,13160,0,10,500110,-1,-1,-1,
Prisoner Iron Mask,,-,Head,Iron mask worn by grave offenders,"Iron mask forced on a prisoner convicted of an appalling crime. Thick, heavy, and utterly stifling. A foul creation designed to torment the wearer, either slowly fermenting hatred within their heart, or a spiritual fervor that is near indistinguishable from it.",8.6,6.8,5.9,7.0,6.8,4.6,4.9,4.5,4.8,29,44,-,35,-,20,11,100,Purple,Yes,890000,89,0000,14440,14440,0,10,500120,-1,-1,-1,
Blackguard's Iron Mask,,-,Head,Iron mask worn by only the most violent offenders,"Iron mask forced on convicted prisoners. Worn by the blackguard Big Boggart. To Boggart, the mask made him all the more threatening, and helped him get what he wanted. But it was also a mirror of his emptiness.",6.2,5.8,4.4,6.1,5.5,4.2,4.4,4.0,4.5,22,31,-,12,-,12,8,100,Purple,Yes,891000,89,1000,14450,14450,0,10,500130,-1,-1,-1,
Bloodsoaked Mask,,-,Head,Bandages dirtied with blood,Mask formed from tightly-wound bandages soaked through with blood. Even the most ghastly cover is more inviting than the festering face beneath.,2.2,1.8,1.8,1.8,2.1,4.6,4.4,4.5,4.6,18,10,-,30,-,31,0,500,Purple,Yes,964000,96,4000,14620,14620,0,10,500140,-1,-1,-1,
Black Dumpling,,-,Head,Red cloth blindfold used to cover prisoners' eyes,"Mask forced on a victim's head to lend torture an extra degree of cruelty. It magnifies one's fears and makes them acutely aware of all forms of pain. Raises attack power when the wearer suffers from madness. When the Black Dumpling goes on, the torturer no longer seeks answers; only to inflict suffering without hope of relief.",2.7,2.8,3.1,2.8,2.8,3.1,3.4,3.6,3.1,24,15,-,0,-,20,1,10,Purple,Yes,2020000,202,0000,15440,15440,0,10,500150,6202000,-1,-1,
Mushroom Head,,-,Head,Helm with slime mold growing on it,"Mushrooms found growing all over the body. These overgrown mushrooms have colonized the head. To those enraptured by the scarlet rot, they are holy vestments that root one to the earth.",2.2,2.1,2.5,0.9,1.8,4.7,1.8,4.6,4.6,44,10,-,39,-,33,0,100,Purple,Yes,1130000,113,0000,14940,14940,0,10,500160,-1,-1,-1,
Mushroom Crown,,-,Head,Garland crown of large flowers rotted by poison,"Mushrooms found growing all over the body. These overgrown mushrooms form a towering headpiece. Raises attack power when something nearby suffers from poison or rot. Long ago, great lords served the scarlet rot. Perhaps such fungal bodies served as their crowns.",9.1,5.8,5.9,6.8,7.0,4.8,3.1,4.6,4.8,46,45,-,18,-,22,9,200,Purple,Yes,2010000,201,0000,15430,15430,0,10,500170,6201000,-1,-1,
Astrologer Hood,,-,Head,Hood of the glintstone polishers,"Hood fashioned from supple cloth. Worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. But alas, the night sky no longer cradles fate.",1.7,1.8,1.4,1.4,1.4,4.6,4.5,4.6,4.5,18,9,-,31,-,27,1,100,Purple,Yes,630000,63,0000,13950,13950,0,20,501000,-1,-1,-1,
Juvenile Scholar Cap,,-,Head,Cap worn by students of the Raya Lucaria Academy,"Cap worn by young academy scholars, the juveniles birthed anew by the amber egg of Queen Rennala, the head of Raya Lucaria Academy. Yet their rebirth is not without imperfections, and thus do they repeat the process, eventually becoming utterly dependent upon it. Rebirth is as sleep to them, and with each awakening, memory fades into oblivion.",1.4,1.4,1.8,1.8,1.4,4.5,4.0,4.2,4.4,15,10,-,26,-,29,0,500,White,Yes,1030000,103,0000,14770,14770,0,20,501010,-1,-1,-1,
Karolos Glintstone Crown,,-,Head,Stone mask depicting the wise Karolos,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence to the detriment of stamina. The Karolos Conspectus is the oldest of the academy's lineages of study, begat by the sorcerer Azur. Scholars who follow in his footsteps pursue the mysteries of comets.",5.1,4.4,3.1,5.2,4.8,4.4,4.5,3.4,3.8,16,26,-,10,-,10,3,500,White,Yes,833000,83,3000,14340,14340,0,20,501020,1956,486,6083300,
Olivinus Glintstone Crown,,-,Head,Stone mask of a Gold Amber Sage,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence to the detriment of HP. The lineage of the Olivinus Conspectus began with the sorcerer Lusat, and its adherents continue his study of meteors.",5.1,4.4,3.1,5.2,4.8,4.4,4.5,3.4,3.8,16,26,-,10,-,10,3,500,White,Yes,831000,83,1000,14320,14320,0,20,501030,1952,486,6083100,
Twinsage Glintstone Crown,,-,Head,Stone mask of the Twin Crystal Sage,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Greatly increases intelligence to the detriment of HP and stamina. Scholars of the Twinsage Conspectus were the elites of the academy, permitted to study and excel in sorceries of all kinds.",5.1,4.4,3.1,5.2,4.8,4.4,4.5,3.4,3.8,16,26,-,10,-,10,3,100,White,Yes,830000,83,0000,14310,14310,0,20,501040,1950,486,6083000,
Witch's Glintstone Crown,,-,Head,Stone mask of a Green Glintstone Sage,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence and arcane to the detriment of stamina. This gentle-looking crown was granted to a scholar who excelled in her studies, which also merited the title of ""witch.""",5.1,4.4,3.1,5.2,4.8,4.4,4.5,3.4,3.8,16,26,-,10,-,10,3,500,White,Yes,834000,83,4000,14720,14720,0,20,501050,1958,486,6083400,
Lazuli Glintstone Crown,,-,Head,Stone mask of a Red Glintstone Sage,One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence and dexterity to the detriment of HP. Scholars of the Lazuli Conspectus study Carian sorceries—a heterodox pursuit that views the moon as equal to the stars.,5.1,4.4,3.1,5.2,4.8,4.4,4.5,3.4,3.8,16,26,-,10,-,10,3,500,White,Yes,832000,83,2000,14330,14330,0,20,501060,1954,486,6083200,
Haima Glintstone Crown,,-,Head,Mask of an unaffiliated glintstone sorcerer,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence and strength to the detriment of FP. Scholars of the Haima Conspectus sought the power to quell conflict, and to this end studied the sorceries of cannon fire and the gavel.",2.7,2.3,2.5,2.1,2.3,4.8,4.5,4.6,4.6,22,11,-,33,-,39,2,500,White,Yes,1000000,100,0000,14680,14680,0,20,501070,6100000,-1,-1,
Hierodas Glintstone Crown,,-,Head,Eyepatch worn by a great sorcerer turned hermit,One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence and endurance to the detriment of FP. The crown of Hierodas was granted to scholars who engaged in nomadic study away from the academy.,3.0,2.3,2.3,2.8,2.3,4.9,4.7,4.6,4.9,20,11,-,39,-,42,2,500,White,Yes,990000,99,0000,14660,14660,0,20,501080,6099000,-1,-1,
Spellblade's Pointed Hat,,-,Head,Glintstone sorcerer Rogier's hat,"Glintstone sorcerer Rogier's pointed hat, a sign of a heretical practitioner. Strengthens glintstone sorcery skills. Rogier spent his entire life behaving with utter detachment. No one noticed the anger, grief, regret, or fear that existed along with it.",1.5,1.3,0.8,1.3,1.3,4.5,3.9,4.1,4.5,15,8,-,25,-,27,0,200,White,Yes,130000,13,0000,13110,13110,0,20,501090,6013000,-1,-1,
Alberich's Pointed Hat,,-,Head,Hat of a defected glintstone sorcerer,"Mad Tongue Alberich's pointed hat, a sign of a heretical practitioner. Set with red glintstones, said to be formed by the blood of sacrifices. Strengthens thorn sorcery. Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.",1.7,1.8,1.4,1.8,1.8,4.6,4.2,4.4,4.6,16,10,-,29,-,31,0,200,White,Yes,120000,12,0000,13090,13090,0,20,501100,6012000,-1,-1,
Alberich's Pointed Hat (Altered),,-,Head,Cowl of a defected glintstone sorcerer,"Mad Tongue Alberich's pointed hat, a sign of a heretical practitioner. Set with red glintstones, said to be formed by the blood of sacrifices. Strengthens thorn sorcery. Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.",1.0,0.9,0.2,0.9,0.9,4.4,3.8,4.0,4.4,12,7,-,23,-,24,0,200,Purple,Yes,121000,12,1000,13100,13100,0,20,501110,6012000,-1,-1,
Preceptor's Big Hat,,-,Head,Hat worn by ruthless Chaplains,"Large hat with the movements of the stars drawn on the inside of the brim. Worn by the magic preceptors who served the Carian royals. Increases mind to the detriment of stamina. Glintstone sorcerers are the descendants of astrologers, a fact that the Carians remain aware of. Even if their fate has been long severed from the stars.",3.6,2.5,2.8,2.5,2.5,5.5,4.9,4.8,4.8,26,12,-,44,-,42,2,200,Purple,Yes,910000,91,0000,14500,14500,0,20,501120,6091000,-1,-1,
Mask of Confidence,,-,Head,Hood worn by ruthless Chaplains,"Mask with the mouth sewn shut with gold thread. Increases arcane. When Radagon married Rennala, he ordered the Carian magic preceptors to don these masks. To make it clear that all of their matters were to be kept strictly private.",3.3,2.3,2.5,2.3,2.3,5.3,4.8,4.7,4.7,24,11,10,39,-,35,1,200,Purple,Yes,911000,91,1000,14510,14510,0,20,501130,6091100,-1,-1,
Azur's Glintstone Crown,,-,Head,Blue transparent crown of a Crystal Sorcerer,"Crown of Azur, primeval current sorcerer, set with a prominent blue-green glintstone. This crown replaced Azur's brain and skull altogether, and now, removed from his body, it is all but dead. What power remains within raises the potency of Azur's primeval current sorceries at the cost of additional FP consumption.",3.6,2.8,2.3,2.5,2.5,5.8,4.6,4.7,5.0,23,14,-,44,-,39,2,1000,Purple,Yes,581000,58,1000,13850,13850,0,20,501140,6058100,6058101,-1,
Lusat's Glintstone Crown,,-,Head,Skull-merged Crown of a Crystal Sorcerer,"The giant blue glintstone crown worn by Lusat, primeval current sorcerer. This crown replaced Lusat's brain and skull altogether, and now, removed from his body, it is all but dead. What power remains within raises the potency of Lusat's primeval current sorceries at the cost of additional FP consumption.",3.6,3.1,2.3,3.1,2.3,5.5,4.6,4.8,4.9,23,11,-,39,-,44,2,1000,Purple,Yes,580000,58,0000,13840,13840,0,20,501150,6058000,6058001,-1,
Queen's Crescent Crown,,-,Head,"Crown of Rennala, the Full Moon Witch","A tall crown depicting the moon. Worn by Rennala, Queen of the Full Moon. Increases intelligence. When Rennala, head of both the Academy of Raya Lucaria and the Carian royal family, lost her husband Radagon, her heart went along with him. And then, those at the academy realized. That Rennala was no champion, after all.",2.2,2.1,1.8,1.8,1.4,4.9,4.5,4.6,4.7,18,11,-,31,-,35,1,2000,Purple,Yes,510000,51,0000,13710,13710,0,20,501160,6051000,-1,-1,
Snow Witch Hat,,-,Head,Hat worn by Enchantress Ranni,"Witch's pointed hat, frigid and frozen through. Of a style associated with practitioners of heretical sorcery. Strengthens cold sorcery. Once worn by the snowy crone who the young Ranni encountered deep in the woods. She was a witch, and well versed in cold sorceries. It is said that the doll that houses Ranni's soul was modeled after her. That old witch was Ranni's secret mentor.",2.2,1.8,2.1,2.1,1.4,4.6,4.6,4.6,4.6,16,14,-,31,-,31,1,1000,Purple,Yes,1010000,101,0000,14740,14740,0,20,501170,6101000,-1,-1,
Fia's Hood,,-,Head,"Hood worn by Phia, the Deathbed Companion","Hood of black cloth that covers the whole head. Worn by Fia, the Deathbed Companion, on her journey after being exiled from her home. The fabric itself is soft as silk.",1.7,1.4,1.8,1.4,1.4,4.4,4.2,4.4,4.6,18,8,-,29,-,45,0,500,Purple,Yes,1940000,194,0000,15340,15340,0,20,501180,-1,-1,-1,
Prophet Blindfold,,-,Head,Blindfold of the exiled prophets,"Blindfold of exiled prophets who foretold misfortune—and were persecuted and driven from their homes as a result. Why hesitate, if the path leading to the future is clear? Just close your eyes, and walk.",1.0,0.2,0.9,0.9,0.2,4.5,4.2,4.0,4.5,14,5,-,27,-,27,0,100,Purple,Yes,620000,62,0000,13920,13920,0,20,501190,-1,-1,-1,
Traveling Maiden Hood,,-,Head,Hood worn by traveling clerics,"Hood worn by traveling maidens. Maidens traversed the Lands Between for different reasons. Some to seek audience with the Fingers. Others, to find the Tarnished who they were destined to guide.",1.6,1.4,1.8,1.8,0.9,4.6,4.5,4.6,4.6,18,10,-,29,-,31,1,10,Purple,Yes,900000,90,0000,14460,14460,0,20,501200,-1,-1,-1,
Finger Maiden Fillet,,-,Head,Crown worn by Saints,"Fillet worn by maidens who serve the Two Fingers. The maidens live to serve a chosen Tarnished, sharing their guidance and the wisdom of the Two Fingers. The guidance of grace would ensure that the pair be brought together. Or at least, such was the promise long ago.",2.2,2.1,1.8,1.8,1.4,4.8,4.6,4.6,4.8,18,10,-,31,-,31,1,500,Purple,Yes,902000,90,2000,14480,14480,0,20,501210,-1,-1,-1,
Sage Hood,,-,Head,Hood of a travelling musician gripped by death,A burgundy pointed hood. Attire of the wise sages who were deemed heretical. Evidence that the wearer was driven from town.,2.2,2.3,2.1,2.1,1.4,4.8,4.5,4.6,4.8,16,10,-,31,-,33,1,100,Purple,Yes,430000,43,0000,13610,13610,0,20,501220,-1,-1,-1,
Greathood,,-,Head,Hood with a mysterious silhouette,"Hood far larger than the head it is meant to cover. A burial shroud of sorts for those who discover, at long last, the truth they sought. Increases intelligence and faith to the detriment of HP. ""Yes, surely this is the moon that young Rennala gazed upon.""",5.1,3.8,3.6,3.8,3.6,5.5,5.0,5.5,6.2,33,20,-,47,-,47,2,200,Purple,Yes,1600000,160,0000,15000,15000,0,20,501230,6160000,-1,-1,
Radiant Gold Mask,,-,Head,Mask worn by researchers of the Golden Order,"A mask designed to resemble a blazing golden halo. Created and left behind by Lord Goldmask, a staunch pursuer of Golden Order fundamentalism. Strengthens Golden Order incantations. Its striking design represents both the brilliant inspiration that once shone upon him, and the vision of a ring that he will surely find at the end of his pursuit. ""To you who seek to shine as I do, wear it well!""",2.2,2.3,2.1,2.1,1.4,4.6,4.5,4.6,4.8,22,9,-,33,-,33,1,500,Purple,Yes,1040000,104,0000,14780,14780,0,20,501240,6104000,-1,-1,
Perfumer Hood,,-,Head,Hood of an Erdtree Capital perfumer,"Hood of an Erdtree Capital perfumer. In times past, the role of perfumer was much respected; a blessed apothecary in the eyes of the many. But after entering the battlefields of the Shattering they performed no such role, trading their aromatics for poisons and explosives.",1.7,1.4,2.1,1.8,1.4,4.6,4.2,4.4,4.6,26,8,-,27,-,29,1,500,Purple,Yes,90000,9,0000,13060,13060,0,30,502000,-1,-1,-1,
Traveler's Hat,,-,Head,Leather tricorne of an unaffiliated perfumer,"Hat of a traveling perfumer of no renown. An associate of a healer, he is said to be in search of new aromatics and flower gardens, in hopes of treating Misbegotten, Omen, and all those seen as impure.",1.7,1.8,1.8,1.4,0.9,4.6,4.6,4.4,4.6,23,9,-,29,-,27,1,100,Purple,Yes,100000,10,0000,13070,13070,0,30,502010,-1,-1,-1,
Depraved Perfumer Headscarf,,-,Head,Hood of a depraved perfumer gripped by madness,Headscarf worn by depraved perfumers. These heresy-inclined perfumers imbibe their own spices to alter body and mind. Their slow descent into self-destruction is what earned them their name.,2.1,2.0,2.0,1.7,1.3,4.6,4.5,4.4,4.5,28,10,-,25,-,34,1,500,White,Yes,540000,54,0000,13740,13740,0,30,502020,-1,-1,-1,
Ruler's Mask,,-,Head,"Stone mask of Rya, servant to the Volcano Manor","Mask in the image of a wizened sage. Customary dress among lords in a smaller nation. Increases faith. Such a mask illustrates the qualities of an ideal lord: chiefly, wise and possessing a certain defanged geniality. One at the center of society often finds these qualities most expedient.",2.2,1.8,2.3,2.3,1.4,4.6,4.4,4.6,4.7,20,10,-,33,-,33,1,500,White,Yes,961000,96,1000,14610,14610,0,30,502030,6096100,-1,-1,
Consort's Mask,,-,Head,"White mask of Tanith, Lady of the Volcano Manor","Mask worn by Tanith, Lady of the Volcano Manor, in the image of a foreign queen. Increases dexterity. Long ago, when Rykard first set eyes on Tanith, she was working as a dancer in a foreign land. Soon, he made her his consort. She was the only human to remain by his side when he became the serpent of blasphemy. In that moment, Tanith was truly charmed by him.",3.6,2.8,2.8,2.5,2.5,5.0,4.8,4.8,5.0,24,14,-,39,-,35,2,500,White,Yes,960000,96,0000,14590,14590,0,30,502040,6096000,-1,-1,
Marais Mask,,-,Head,An eerie white haired silver mask,"Mask in the image of a white-haired young noble. Customarily worn by the head of House Marais. Increases arcane. The Marais family has a dual history spanning generations, serving as both executioners and castellans of the Shaded Castle. This mask bears the likeness of the first of their line.",2.2,2.1,2.3,1.8,1.4,4.6,4.5,4.5,4.6,20,14,-,35,-,33,1,500,White,Yes,963000,96,3000,14600,14600,0,30,502050,6096300,-1,-1,
Great Horned Headband,,-,Head,Headband worn by worshippers of stag specters,"Headband decorated by a pair of great horns. Worn by ancestral follower warriors. The ancestral followers keep their distance from the Erdtree, awaiting new buds. They are certain to sprout from their very flesh, and indeed, their souls.",3.3,2.8,3.1,2.8,2.8,3.1,3.4,3.8,3.4,33,23,-,27,-,22,1,100,White,Yes,300000,30,0000,13420,13420,0,30,502060,-1,-1,-1,
Shining Horned Headband,,-,Head,%null%,Headband decorated by a pair of shining horns. Worn by ancestral follower shamans. Horns with buds that also shine are ideal ceremonial items for ancestral worship. Strengthens Ancestral Infant's Head.,3.3,2.5,2.8,2.5,3.6,3.6,3.4,3.6,3.1,33,23,-,27,-,20,2,100,White,Yes,301000,30,1000,13425,13425,0,30,502070,6030100,-1,-1,
Godskin Apostle Hood,,-,Head,Hood made from tanned Demigod skin,"Hood made by sewing together patches of smooth skin. Worn by the Godskin Apostles. The apostles, once said to serve Destined Death, are wielders of the god-slaying black flame. But after their defeat by Maliketh, the Black Blade, the source of their power was sealed away.",2.2,2.3,2.1,2.1,1.4,4.6,4.4,4.5,5.0,20,10,-,33,-,31,1,1000,White,Yes,520000,52,0000,13720,13720,0,30,502080,-1,-1,-1,
Godskin Noble Hood,,-,Head,Hood made from tanned corpulent Demigod skin,"Hood made by sewing together patches of smooth skin. Subcutaneous fat makes it plump and soft. Worn by Godskin Nobles. Nobles are the most ancient apostles who are said to have assimilated inhuman physiology. Not unlike the crucible, the Erdtree in its primordial form.",1.7,1.4,2.8,1.8,1.4,4.5,4.0,4.2,4.8,16,10,-,27,-,29,1,1000,Purple,Yes,530000,53,0000,13730,13730,0,30,502090,-1,-1,-1,
Sanguine Noble Hood,,-,Head,Hood of dyed black cloth featuring gold embroidery,"Hood of dyed black cloth featuring gold embroidery. Worn by the nobles who serve the Lord of Blood. Known to strike from pools of blood, these assassins are missionaries come to share the gospel of accursed blood.",1.4,1.4,0.9,0.9,0.9,4.6,3.8,4.5,4.6,18,5,-,29,-,27,0,500,Purple,Yes,320000,32,0000,13450,13450,0,30,502100,-1,-1,-1,
Crimson Tear Scarab,,-,Head,"Mask made from a large, old yellow scarab's body","Red scarab worn directly on the head. The red scarabs roll clumps of crimson tears during their labors. Slightly increases the recovery effects of the Flask of Crimson Tears, but increases damage taken.",5.1,3.8,4.0,3.8,3.8,4.6,4.6,4.6,4.5,42,22,-,27,-,26,2,500,Purple,Yes,1910000,191,0000,15310,15310,0,40,503000,6191000,-1,-1,
Cerulean Tear Scarab,,-,Head,"Mask made from a large, old green scarab's body","Blue scarab worn directly on the head. These scarabs roll clumps of cerulean tears during their labors. Slightly increases the recovery effects of the Flask of Cerulean Tears, but increases damage taken.",5.1,3.8,4.0,3.8,3.8,4.6,4.6,4.6,4.5,42,22,-,27,-,26,2,500,Purple,Yes,1920000,192,0000,15320,15320,0,40,503010,6192000,-1,-1,
Ash-of-War Scarab,,-,Head,"Mask made from a large, old white scarab's body","Gray scarab worn directly on the head. These scarabs roll clumps of Ashes of War during their labors. Slightly reduces the FP cost of skills, but increases damage taken.",5.1,3.8,4.0,3.8,3.8,4.6,4.6,4.6,4.5,42,22,-,27,-,26,2,500,Purple,Yes,1900000,190,0000,15280,15280,0,40,503020,6190000,-1,-1,
Glintstone Scarab,,-,Head,"Mask made from a large, old blue scarab's body","Blue-green scarab worn directly on the head. These scarabs roll clumps of sorcery during their labors. Slightly reduces the FP costs of sorceries, but increases damage taken.",5.1,3.8,4.0,3.8,3.8,4.6,4.6,4.6,4.5,42,22,-,27,-,26,2,500,Purple,Yes,1902000,190,2000,15300,15300,0,40,503030,6190200,-1,-1,
Incantation Scarab,,-,Head,"Mask made from a large, old red scarab's body","Golden scarab worn directly on the head. These scarabs roll clumps of incantations during their labors. Slightly reduces the FP costs of incantations, but increases damage taken. As a scarab approaches death, it abandons its rolled treasure and stretches its wings wide for the long journey to its home nest.",5.1,3.8,4.0,3.8,3.8,4.6,4.6,4.6,4.5,42,22,-,27,-,26,2,500,Purple,Yes,1901000,190,1000,15290,15290,0,40,503040,6190100,-1,-1,
Imp Head (Cat),,-,Head,Ancient mask with an animal motif,"Head covering made from the largely unaltered head of an impish golem. Resembling a cat, it holds trace amounts of feline intelligence.",8.1,5.8,5.2,5.8,6.1,5.0,5.8,4.8,5.0,35,35,-,20,-,20,8,200,Purple,Yes,1080000,108,0000,14820,14820,0,40,503050,6108000,-1,-1,
Imp Head (Wolf),,-,Head,Ancient mask with an animal motif,"Head covering made from the largely unaltered head of an impish golem. Resembling a wolf, it holds trace amounts of lupine endurance.",8.1,5.8,5.2,5.8,6.1,5.0,5.8,4.8,5.0,35,35,-,20,-,20,8,200,Purple,Yes,1084000,108,4000,14860,14860,0,40,503060,6108400,-1,-1,
Imp Head (Fanged),,-,Head,Ancient mask with an animal motif,"Head covering made from the largely unaltered head of an impish golem. Resembling a fanged demon, it holds trace amounts of bestial strength.",8.1,5.8,5.2,5.8,6.1,5.0,5.8,4.8,5.0,35,35,-,20,-,20,8,200,Purple,Yes,1081000,108,1000,14830,14830,0,40,503070,6108100,-1,-1,
Imp Head (Long-Tongued),,-,Head,Ancient mask with an animal motif,"Head covering made from the largely unaltered head of an impish golem. Resembling a long-tongued demon, it holds trace amounts of vexatious dexterity.",8.1,5.8,5.2,5.8,6.1,5.0,5.8,4.8,5.0,35,35,-,20,-,20,8,200,White,Yes,1082000,108,2000,14840,14840,0,40,503080,6108200,-1,-1,
Imp Head (Corpse),,-,Head,Ancient mask with an animal motif,"Head covering made from the largely unaltered head of an impish golem. Resembling the visage of a corpse, it holds trace amounts of lingering faith.",8.1,5.8,5.2,5.8,6.1,5.0,5.8,4.8,5.0,35,35,-,20,-,20,8,200,White,Yes,1083000,108,3000,14850,14850,0,40,503090,6108300,-1,-1,
